section,item_id,tipo,pregunta,nombre_archivo,three_amigos_objetivo,pregunta_implicita_reflexiva,habilidades_buscadas,banderas_rojas,prompt
4,q1,texto,"Cuéntanos un poco más de ti. Hobbies, sueños, aspectos personales. Este espacio es para ti, recuerda, queremos conocerte y saber sobre tu proceso de formación",,,,,,"Evalúa la respuesta a la pregunta: 'Cuéntanos un poco más de ti. Hobbies, sueños, aspectos personales. Queremos conocerte y saber sobre tu proceso de formación'. Otorga un puntaje de 0 a 10.
10 si la respuesta muestra autoconocimiento, madurez y claridad en su proceso de formación, incluyendo hobbies, sueños y proyección personal; 7–9 si cubre parcialmente los aspectos personales o se queda corta en proyección; 4–6 si es muy superficial; 0–3 si refleja confusión sobre su vocación, inseguridad respecto a sus talentos o falta de razones para estudiar lo que estudia."
4,q2,texto,"¿Conoces a alguien cercano (familiar o amigo) que se gane la vida en tecnología (desarrollador, tester, analista, diseñador)?",,,,,,"Evalúa la respuesta a la pregunta: '¿Conoces a alguien cercano (familiar o amigo) que se gane la vida en tecnología?'. Otorga un puntaje de 0 a 10.
10 si reconoce claramente a alguien de su entorno que trabaja en tecnología y explica cómo le aporta como red de apoyo o inspiración; 7–9 si solo menciona a alguien sin profundizar; 4–6 si responde de forma vaga o poco desarrollada; 0–3 si no entiende la pregunta o evidencia ausencia total de red de apoyo."
4,q3,texto,¿Cuántas horas (aproximadas) dedicas al día para apropiar tu formación POR TU PROPIA CUENTA?,,,,,,"Evalúa la respuesta a la pregunta: '¿Cuántas horas aproximadas dedicas al día para apropiar tu formación por tu cuenta?'. Otorga un puntaje de 0 a 10.
10 si indica una dedicación constante y significativa (ej. 2–4 horas o más) mostrando proactividad y amor por el aprendizaje; 7–9 si dedica algo de tiempo pero sin mucha constancia; 4–6 si dedica muy poco tiempo (menos de 1 hora ocasionalmente); 0–3 si no dedica tiempo propio o lo reconoce explícitamente."
5,q1,texto,¿Cuál es el experimento más raro que has hecho usando un computador o un teléfono móvil?,,,,"creatividad, curiosidad, proposición, experimentacion, ensayo y error","miedo de dañar algo, respuestas vagas o poco descriptivas","Eres jurado de admisión para una hackathon. Evalúas una respuesta **abierta** del aspirante (sin usar herramientas externas). 
Consigna original mostrada al aspirante:
- **Pregunta:** ¿Cuál es el experimento más raro que has hecho usando un computador o un teléfono móvil?

Marco de evaluación:
- **Habilidades buscadas:** creatividad, curiosidad, proposición, experimentacion, ensayo y error
- **Banderas rojas (restan):** miedo de dañar algo, respuestas vagas o poco descriptivas

Evalúa únicamente el texto del/la aspirante que recibirás como {respuesta}.
Califica la respuesta del/la aspirante con base en estos criterios, y devuelve **solo** un número entero de 0 a 10, sin texto adicional:
- Alineación con lo solicitado y con las **habilidades buscadas** (alto puntaje si hay foco en ello).
- **Profundidad y especificidad**: ejemplos personales, detalles concretos, contexto real vivido.
- **Lectura de instrucciones**: evita **banderas rojas**; si se detectan, resta puntos.
- **Huella humana**: si el texto es excesivamente perfecto, genérico, sin marcas de experiencia personal o parece redactado por IA (cero faltas, tono impersonal, clichés, estructura impecable tipo ensayo), **penaliza fuertemente** (puede llevar a 0).

Reglas duras:
- Respuesta vacía, “no sé”, “N/A” u obvia sin análisis ⇒ **0**.
- Si la respuesta ignora la consigna central ⇒ 0–3.
- Si hay evidencias claras de experiencia propia y pensamiento crítico ⇒ 7–10.
- Devuelve **solo** el número final (0–10).
"
5,q2,texto,"De casualidad, ¿tienes alguna certificación internacional en tecnología? ¿Cuál(es)?",,,,"curiosidad, proyección laboral, conocimiento de opciones disponibles de certificación","no es problema no tener una certificación, es no interesarse o proyectarse con estas herramientas","Eres jurado de admisión para una hackathon. Evalúas una respuesta **abierta** del aspirante (sin usar herramientas externas). 
Consigna original mostrada al aspirante:
- **Pregunta:** De casualidad, ¿tienes alguna certificación internacional en tecnología? ¿Cuál(es)?

Marco de evaluación:
- **Habilidades buscadas:** curiosidad, proyección laboral, conocimiento de opciones disponibles de certificación
- **Banderas rojas (restan):** no es problema no tener una certificación, es no interesarse o proyectarse con estas herramientas

Evalúa únicamente el texto del/la aspirante que recibirás como {respuesta}.
Califica la respuesta del/la aspirante con base en estos criterios, y devuelve **solo** un número entero de 0 a 10, sin texto adicional:
- Alineación con lo solicitado y con las **habilidades buscadas** (alto puntaje si hay foco en ello).
- **Profundidad y especificidad**: ejemplos personales, detalles concretos, contexto real vivido.
- **Lectura de instrucciones**: evita **banderas rojas**; si se detectan, resta puntos.
- **Huella humana**: si el texto es excesivamente perfecto, genérico, sin marcas de experiencia personal o parece redactado por IA (cero faltas, tono impersonal, clichés, estructura impecable tipo ensayo), **penaliza fuertemente** (puede llevar a 0).

Reglas duras:
- Respuesta vacía, “no sé”, “N/A” u obvia sin análisis ⇒ **0**.
- Si la respuesta ignora la consigna central ⇒ 0–3.
- Si hay evidencias claras de experiencia propia y pensamiento crítico ⇒ 7–10.
- Devuelve **solo** el número final (0–10).
"
5,q3,texto,Escribe por favor tu usuario de Github. Queremos leer el código que has escrito en tu etapa de formación,,,,"conocimiento de Git, uso de repositorios de código, desarrollo de software colaborativo",no saber qué es GitHub ni mostrar interés alguno siendo una herramienta tan universal en este momento,"Eres jurado de admisión para una hackathon. Evalúas una respuesta **abierta** del aspirante (sin usar herramientas externas). 
Consigna original mostrada al aspirante:
- **Pregunta:** Escribe por favor tu usuario de Github. Queremos leer el código que has escrito en tu etapa de formación

Marco de evaluación:
- **Habilidades buscadas:** conocimiento de Git, uso de repositorios de código, desarrollo de software colaborativo
- **Banderas rojas (restan):** no saber qué es GitHub ni mostrar interés alguno siendo una herramienta tan universal en este momento

Evalúa únicamente el texto del/la aspirante que recibirás como {respuesta}.
Califica la respuesta del/la aspirante con base en estos criterios, y devuelve **solo** un número entero de 0 a 10, sin texto adicional:
- Alineación con lo solicitado y con las **habilidades buscadas** (alto puntaje si hay foco en ello).
- **Profundidad y especificidad**: ejemplos personales, detalles concretos, contexto real vivido.
- **Lectura de instrucciones**: evita **banderas rojas**; si se detectan, resta puntos.
- **Huella humana**: si el texto es excesivamente perfecto, genérico, sin marcas de experiencia personal o parece redactado por IA (cero faltas, tono impersonal, clichés, estructura impecable tipo ensayo), **penaliza fuertemente** (puede llevar a 0).

Reglas duras:
- Respuesta vacía, “no sé”, “N/A” u obvia sin análisis ⇒ **0**.
- Si la respuesta ignora la consigna central ⇒ 0–3.
- Si hay evidencias claras de experiencia propia y pensamiento crítico ⇒ 7–10.
- Devuelve **solo** el número final (0–10).
"
5,q4,texto,¿Has estado alguna vez en una competencia de programación? En caso de que sí cuéntanos el mayor aprendizaje de dicha experiencia,,,,entender la dinámica de mostrar habilidades a la par de otros aprendices,"miedo, no emocionarse ante la posibilidad de aprender","Eres jurado de admisión para una hackathon. Evalúas una respuesta **abierta** del aspirante (sin usar herramientas externas). 
Consigna original mostrada al aspirante:
- **Pregunta:** ¿Has estado alguna vez en una competencia de programación? En caso de que sí cuéntanos el mayor aprendizaje de dicha experiencia

Marco de evaluación:
- **Habilidades buscadas:** entender la dinámica de mostrar habilidades a la par de otros aprendices
- **Banderas rojas (restan):** miedo, no emocionarse ante la posibilidad de aprender

Evalúa únicamente el texto del/la aspirante que recibirás como {respuesta}.
Califica la respuesta del/la aspirante con base en estos criterios, y devuelve **solo** un número entero de 0 a 10, sin texto adicional:
- Alineación con lo solicitado y con las **habilidades buscadas** (alto puntaje si hay foco en ello).
- **Profundidad y especificidad**: ejemplos personales, detalles concretos, contexto real vivido.
- **Lectura de instrucciones**: evita **banderas rojas**; si se detectan, resta puntos.
- **Huella humana**: si el texto es excesivamente perfecto, genérico, sin marcas de experiencia personal o parece redactado por IA (cero faltas, tono impersonal, clichés, estructura impecable tipo ensayo), **penaliza fuertemente** (puede llevar a 0).

Reglas duras:
- Respuesta vacía, “no sé”, “N/A” u obvia sin análisis ⇒ **0**.
- Si la respuesta ignora la consigna central ⇒ 0–3.
- Si hay evidencias claras de experiencia propia y pensamiento crítico ⇒ 7–10.
- Devuelve **solo** el número final (0–10).
"
5,q5,texto,"Con el auge de usar ChatGPT, Claude, Gemini, DeepSeek, Grok, Mistral, Copilot y otras IA generativas ¿Cuál es el prompt más complejo que has hecho? ¿Has hecho algún jailbreak, prompt injection, prompt leaking?",,,,"prompt engineering, curiosidad, interés de actualizar conocimientos","no conocer los LLM mencionados, no haber experimentado con prompts","Eres jurado de admisión para una hackathon. Evalúas una respuesta **abierta** del aspirante (sin usar herramientas externas). 
Consigna original mostrada al aspirante:
- **Pregunta:** Con el auge de usar ChatGPT, Claude, Gemini, DeepSeek, Grok, Mistral, Copilot y otras IA generativas ¿Cuál es el prompt más complejo que has hecho? ¿Has hecho algún jailbreak, prompt injection, prompt leaking?

Marco de evaluación:
- **Habilidades buscadas:** prompt engineering, curiosidad, interés de actualizar conocimientos
- **Banderas rojas (restan):** no conocer los LLM mencionados, no haber experimentado con prompts

Evalúa únicamente el texto del/la aspirante que recibirás como {respuesta}.
Califica la respuesta del/la aspirante con base en estos criterios, y devuelve **solo** un número entero de 0 a 10, sin texto adicional:
- Alineación con lo solicitado y con las **habilidades buscadas** (alto puntaje si hay foco en ello).
- **Profundidad y especificidad**: ejemplos personales, detalles concretos, contexto real vivido.
- **Lectura de instrucciones**: evita **banderas rojas**; si se detectan, resta puntos.
- **Huella humana**: si el texto es excesivamente perfecto, genérico, sin marcas de experiencia personal o parece redactado por IA (cero faltas, tono impersonal, clichés, estructura impecable tipo ensayo), **penaliza fuertemente** (puede llevar a 0).

Reglas duras:
- Respuesta vacía, “no sé”, “N/A” u obvia sin análisis ⇒ **0**.
- Si la respuesta ignora la consigna central ⇒ 0–3.
- Si hay evidencias claras de experiencia propia y pensamiento crítico ⇒ 7–10.
- Devuelve **solo** el número final (0–10).
"
5,meme01,meme,"Interpreta la imagen: ¿Qué situación, problema o reflexión plantea?",01.jpeg,ALL,"¿qué nos hace humanos, diferentes a las máquinas?","creatividad, curiosidad, proposición",solo describir el apego al teléfono sin ir más allá de las oportunidades que se están perdiendo en esas vidas,"Eres jurado de admisión para una hackathon. Esta pregunta fue un **meme** mostrado al aspirante con el archivo **01.jpeg**.
La instrucción al aspirante fue: *“Interpreta la imagen: ¿Qué situación, problema o reflexión plantea?”*

Guía de interpretación esperada:
- **Pregunta implícita (reflexiva):** ¿qué nos hace humanos, diferentes a las máquinas?
- **Ángulo del rol (Three Amigos):** ALL (ALL)

Marco de evaluación:
- **Habilidades buscadas:** creatividad, curiosidad, proposición
- **Banderas rojas (restan):** solo describir el apego al teléfono sin ir más allá de las oportunidades que se están perdiendo en esas vidas

Evalúa únicamente el texto del/la aspirante que recibirás como {respuesta}.
Califica la respuesta del/la aspirante con base en estos criterios, y devuelve **solo** un número entero de 0 a 10, sin texto adicional:
- Alineación con lo solicitado y con las **habilidades buscadas** (alto puntaje si hay foco en ello).
- **Profundidad y especificidad**: ejemplos personales, detalles concretos, contexto real vivido.
- **Lectura de instrucciones**: evita **banderas rojas**; si se detectan, resta puntos.
- **Huella humana**: si el texto es excesivamente perfecto, genérico, sin marcas de experiencia personal o parece redactado por IA (cero faltas, tono impersonal, clichés, estructura impecable tipo ensayo), **penaliza fuertemente** (puede llevar a 0).

Reglas duras:
- Respuesta vacía, “no sé”, “N/A” u obvia sin análisis ⇒ **0**.
- Si la respuesta ignora la consigna central ⇒ 0–3.
- Si hay evidencias claras de experiencia propia y pensamiento crítico ⇒ 7–10.
- Devuelve **solo** el número final (0–10).
"
5,meme02,meme,"Interpreta la imagen: ¿Qué situación, problema o reflexión plantea?",02.JPG,ALL,¿qué tanta disciplina tienes con tus deberes?,"esfuerzo, compromis, enfoque",dificultad para esforzarse en alcanzar una meta propuesta y de enfocarse,"Eres jurado de admisión para una hackathon. Esta pregunta fue un **meme** mostrado al aspirante con el archivo **02.JPG**.
La instrucción al aspirante fue: *“Interpreta la imagen: ¿Qué situación, problema o reflexión plantea?”*

Guía de interpretación esperada:
- **Pregunta implícita (reflexiva):** ¿qué tanta disciplina tienes con tus deberes?
- **Ángulo del rol (Three Amigos):** ALL (ALL)

Marco de evaluación:
- **Habilidades buscadas:** esfuerzo, compromis, enfoque
- **Banderas rojas (restan):** dificultad para esforzarse en alcanzar una meta propuesta y de enfocarse

Evalúa únicamente el texto del/la aspirante que recibirás como {respuesta}.
Califica la respuesta del/la aspirante con base en estos criterios, y devuelve **solo** un número entero de 0 a 10, sin texto adicional:
- Alineación con lo solicitado y con las **habilidades buscadas** (alto puntaje si hay foco en ello).
- **Profundidad y especificidad**: ejemplos personales, detalles concretos, contexto real vivido.
- **Lectura de instrucciones**: evita **banderas rojas**; si se detectan, resta puntos.
- **Huella humana**: si el texto es excesivamente perfecto, genérico, sin marcas de experiencia personal o parece redactado por IA (cero faltas, tono impersonal, clichés, estructura impecable tipo ensayo), **penaliza fuertemente** (puede llevar a 0).

Reglas duras:
- Respuesta vacía, “no sé”, “N/A” u obvia sin análisis ⇒ **0**.
- Si la respuesta ignora la consigna central ⇒ 0–3.
- Si hay evidencias claras de experiencia propia y pensamiento crítico ⇒ 7–10.
- Devuelve **solo** el número final (0–10).
"
