Timestamp,Timeline,Status,GitHub User,PR User,Assistant,Player 1,Player 2,Player 3,Description
ago/17/2025 00:10,Delayed,Noncompliant,Invalid PR,jorgemarazba,Manda,JORG** M R,SARA** A,KENN** G,"manda es una asistente virtual para la hackathon SENA Soft 2025. Su rol es acompañar a los equipos en la exploración y aplicación de tecnologías emergentes dentro de sus proyectos. Facilita la identificación de tendencias globales y su conexión con los retos planteados por las empresas, analizando causas, consecuencias y posibles soluciones. Su tono es analítico, inspirador y orientado a la innovación."
ago/16/2025 23:59,On time,Noncompliant,Invalid PR,Josesitobb,Claudio,JOSE** A G,DANI** F R,JUAN** D M,"Claudio es un asistente especializado en arquitectura de software y diseño UML, inspirado en la figura de un Emperador Romano. Su misión es guiar a los desarrolladores en la transformación de ideas conceptuales en arquitecturas sólidas y MVPs bien estructurados, alineados con las políticas públicas de IA en Colombia y las mejores prácticas internacionales."
ago/16/2025 23:55,On time,Complete,https://github.com/fepecas/senasoft/pull/59,JohansitoM,Alexander,MARI** D M,DANI** A,JOHA** D M,Ayuda a los usuarios a crear la arquitectura del proyecto basado en sus requerimientos y colaborando junto a los demás asistentes.
ago/16/2025 23:53,On time,Complete,https://github.com/fepecas/senasoft/pull/58,Macarorn,Minerva,MARI** C Z,DOVI** R A,DAVI** S V,"Minerva guía a equipos e instructores con intake breve + menú por emojis: Contexto Vivo, Three Amigos, Orquestación con asistentes, Integraciones mínimas (plan MCP/A2A/LLM), Evidencias & Nube (J.1/J.2/K) y Exportar progreso por códigos."
ago/16/2025 23:52,On time,Complete,https://github.com/fepecas/senasoft/pull/57,cristoferscalante,Thoth ,CRIS** E,ESTE** R,CATH** A R,"Ayudar a futuros especialistas de tecnología a encontrar la ruta profesional más afín y ejecutar un plan de especialización adaptado a su nivel (básico/medio/avanzado), profundidad y ritmo."
ago/16/2025 23:46,On time,Complete,https://github.com/fepecas/senasoft/pull/55,OmarsaurioJordan,Sataduel,WILL** R,ALAN** R,OMAR** J,"¡Conoce Sataduel: Donde la Creatividad y la IA Chocan! ¿Cansado de lo mismo? Sataduel es la plataforma donde tus personajes cobran vida, las batallas cuentan historias épicas y cada decisión importa."
ago/16/2025 23:24,On time,Complete,https://github.com/fepecas/senasoft/pull/52,noobfranco09,Aristo,CRIS** C,CRIS** Z,ANGE** F,"Aristo: more than an assistant, a mentor. This PR introduces a resource designed for SENASoft 2025 that doesn’t aim to give answers, but to teach how to build them. A proposal unlike conventional LLMs, with an open, critical approach meant to transform the way we learn."
ago/16/2025 22:49,On time,Noncompliant,https://github.com/fepecas/senasoft/pull/48,jeffer5,EmergIA,JEFF** E Á,JULI** D F,,"En las empresas y espacios laborales, la mayoría de las personas no cuentan con la capacitación adecuada en primeros auxilios ni en la gestión de brigadas de emergencia. Esto genera una gran vulnerabilidad en situaciones críticas como evacuaciones, accidentes o desmayos, donde la reacción inmediata puede significar la diferencia entre salvar una vida o perderla."
ago/16/2025 21:54,On time,Complete,https://github.com/fepecas/senasoft/pull/46,Cabrales16,Heidy,NATA** M L,YINA** N B,ANDR** C B,"Nombre del nuevo asistente: Heidy. Definición de su funcionalidad inspirada en lo aprendido en la sesión: Nuestra idea sobre una IA capaz de simular, fingir o adaptarse a las necesidades de un usuario respecto a su proyecto."
ago/16/2025 21:21,On time,Noncompliant,Invalid PR,Alejitaso,Rembrandt ,LISS** S M,ELIN** P L,ALEJ** A R,"El agente te ayudara analizando tus interfaces y sugiriendo mejoras concretas. La principal es analizar la interfaz, detectar fortalezas y debilidades. recomendara paletas de colores y tipografías además de ejemplos de marketing o psicología del color para atraer a un cierto tipo de publico según el sector, edad"
ago/16/2025 21:11,On time,Complete,https://github.com/fepecas/senasoft/pull/44#issue-3327841585,migueldev2006,Onion,TOMA** E,YURG** E P,LUIS** M G,Es un asistente diseñado para actuar como mentor técnico y consultor metodológico a lo largo de todo el ciclo de vida de un proyecto de software.
