Timestamp,Timeline,Status,GitHub User,PR User,New Metrics,Player 1,Player 2,Player 3,Description
ago/23/2025 23:59,On time,Noncompliant,Invalid PR,SAritaa32,"Cantidad de aprendices por centro. Instructores recomendados. Aprendiz con GitHub. Nivel de inglés B1/B2, entre otros. Cantidad de aprendices por departamento de Colombia",SARA** A,JORG** R,KENN** G,Se cargaron datos de prueba en MongoDB para 100 aprendices y se ajustó el Action para que funcione con o sin parámetro de tipo.
ago/23/2025 23:51,On time,Complete,https://github.com/fepecas/senasoft/pull/99,mochi538,,JOHA** D M,DANI** A,MARI** D M,Propuesta realizada por:
ago/23/2025 23:24,On time,Complete,https://github.com/fepecas/senasoft/pull/95,orozcolj,"Finalmente, integramos Leonardo (GPT) con estos nuevos endpoints para que responda con información precisa y sin ""alucinaciones"", garantizando métricas claras y veraces.",JOSÉ** D C,JOSE** D F,LUIS** J O,"Nuestro equipo, propone una solución con una sola colección en mysql para almacenar todos los datos de aprendices."
ago/23/2025 23:19,On time,Complete,https://github.com/fepecas/senasoft/pull/94,Parcival258,Cantidad de aprendices inscritos por centro de formación. Nombres de los instructores recomendados por dichos aprendices. Cantidad de aprendices inscritos por centro y programa de formación (máx. 4 programas). Cantidad de aprendices por departamento de residencia. Cantidad de aprendices con usuario de GitHub. Cantidad de aprendices con nivel de inglés B1 o B2 por centro,MARI** C Z,DANI** P R,MILT** A L,se realiza la adaptación de leonardo y ahora responde a métricas usando una DB en mongo atlas
ago/23/2025 22:17,On time,Complete,https://github.com/fepecas/senasoft/pull/84,IgmarLozadaBolivar,Endpoints de consulta. Conexión a base de datos. Información disponible,EDIE** Y R,IGMA** D J,NEID** A G,"Este PR agrega a nuevas métricas, a las cuales nuestro Agente Leonardo, tiene acceso y puede consultar."
ago/23/2025 21:32,On time,Complete,https://github.com/fepecas/senasoft/pull/83,sam1217s,"""¿Cuál es la cantidad de aprendices inscritos por cada centro de formación?"". ""¿Qué instructores han sido recomendados por los aprendices inscritos y en qué centros?"". ""Dame la cantidad de aprendices inscritos por centro y por programa de formación."". ""¿Cuántos aprendices tengo por departamento de residencia en Colombia?"". ""¿Cuántos aprendices reportan tener un usuario de GitHub?"". ""Dime la cantidad de aprendices con nivel de inglés B1 o B2 en cada centro de formación.""",ANDE** J R,MARY** A P,SAMU** G G,"Este proyecto extiende el backend de métricas existente para el asistente de IA Leonardo, transformándolo en un Analista de Datos Multifacético capaz de responder preguntas estratégicas sobre el perfil de los aprendices inscritos."
ago/23/2025 20:17,On time,Complete,https://github.com/fepecas/senasoft/pull/80,Juand4rck12,¿Cuántos aprendices tenemos por centro de formación? ¿De qué departamentos provienen? ¿Quiénes son los instructores más recomendados? ¿Cuál es el nivel de competencias técnicas (GitHub) e inglés de nuestros participantes?,JUAN** D O,ESTE** C V,JUAN** F V,Saludos! Aquí comparto nuestra solución para el reto de clasificación directa. Para que Leonardo pueda responder métricas específicas de inscripción sin alucinaciones.
ago/23/2025 20:07,On time,Complete,https://github.com/fepecas/senasoft/pull/79,IngAlim2023,"Se generó el archivo dataLeonardo.csv, el cual contiene la estructura de los datos diseñados para pruebas y validaciones. Los datos fueron construidos con un enfoque sintético para simular escenarios reales sin comprometer información sensible.",JORG** E P,ALEX** J C,DOVI** R A,Este Pull Request incluye la integración de datos sintéticos utilizados para responder a las preguntas propuestas por Globant en el marco del reto.
ago/23/2025 19:19,On time,Complete,https://github.com/fepecas/senasoft/pull/77,DanielPOG,"Datos sintéticos cargados en MongoDB. Colecciones optimizadas (aprendices y metrics_scalar). Backend con endpoint /metrics/scalar, compatible con Actions de OpenAI",FERN** C,GILB** M,DANI** C,Este Pull Request habilita a Leonardo para responder a solicitudes sobre métricas relacionadas con la inscripción de aprendices en SENAsoft
ago/23/2025 17:04,On time,Complete,https://github.com/fepecas/senasoft/pull/76,carolDaya,"/metrics/centers → Aprendices por centro. /metrics/centers/:id/instructors → Instructores recomendados por centro. /metrics/centers-programs → Aprendices por centro y programa (máx. 4). /metrics/departments → Aprendices por departamento. /metrics/github → Aprendices con cuenta GitHub. /metrics/english?levels=B1,B2 → Nivel de inglés por centro.",GEOR** B D,CARO** D S,JHON** S M,"Se trabajó sobre Node.js + MongoDB, manteniendo compatibilidad con el backend existente."
